,58-95.1,142-End,56-83.6,76.5-End,0-51.5,0-46.5,0-51.9,13.4-33.1,0-15.8,47.3-67.3,92.6-109.6,0-24.6,6.4-44.3,61.5-94.4,17.9-66.9,50-79.9,63.5-73,50-114.7,6.6-12.6,16.2-34.8,15.3-28.3
Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.1,650,783,453,326,411,615,252,285,221,384,513,175,72,185,82,429,744,491,407,155,175
0.2,650,783,454,325,413,615,252,287,221,384,513,176,72,185,82,429,747,491,409,155,175
0.3,650,783,455,324,414,615,253,289,222,383,512,177,72,185,81,429,746,490,410,155,174
0.4,650,783,455,325,415,615,256,289,222,383,512,177,72,185,80,428,745,490,410,155,172
0.5,650,783,456,325,416,615,256,289,224,380,512,177,72,185,80,428,744,489,410,152,171
0.6,650,783,458,322,417,615,258,292,224,380,512,177,74,185,79,427,743,487,410,152,171
0.7,650,782,457,322,417,616,258,294,224,380,512,177,74,184,78,426,743,487,411,152,170
0.8,650,782,457,323,418,618,260,294,224,380,512,177,75,183,78,424,743,487,412,152,170
0.9,650,781,456,323,418,620,262,294,226,380,512,177,75,182,78,422,743,486,413,152,170
1,650,781,456,323,419,620,263,297,226,381,514,177,76,181,78,422,743,485,414,152,170
1.1,650,781,454,322,420,620,263,299,226,382,513,177,77,181,78,420,743,485,416,152,170
1.2,650,781,454,321,421,620,265,299,227,382,513,177,79,181,78,418,743,484,418,152,170
1.3,650,781,454,321,422,620,265,301,229,380,512,176,79,181,78,415,742,483,418,152,170
1.4,650,781,454,320,423,620,265,303,231,380,511,176,80,181,78,414,740,483,418,152,170
1.5,650,782,454,318,423,620,266,305,233,382,511,176,81,180,78,413,739,481,418,152,170
1.6,650,782,451,318,425,620,266,305,233,383,511,177,82,180,77,413,738,480,418,150,168
1.7,650,781,450,318,428,620,266,305,234,384,510,177,83,179,76,412,738,479,418,151,168
1.8,650,781,449,316,430,621,270,308,234,385,508,178,83,178,74,412,738,478,418,151,168
1.9,650,781,448,316,430,622,272,310,234,385,508,179,83,178,72,410,738,478,418,151,168
2,650,781,447,316,430,622,272,312,235,385,510,179,81,178,70,409,737,476,418,151,169
2.1,650,780,444,317,430,623,273,315,235,385,511,179,82,177,70,408,737,475,418,152,169
2.2,650,779,441,317,430,623,274,317,236,387,511,179,83,176,70,408,737,475,418,152,169
2.3,650,779,441,317,431,623,275,317,238,389,511,179,83,175,69,406,736,475,418,152,171
2.4,650,779,441,316,432,623,275,321,239,389,511,180,83,174,68,404,736,475,418,152,171
2.5,650,779,441,316,435,623,276,323,239,390,512,180,83,174,67,403,736,476,418,152,169
2.6,650,779,441,315,436,623,276,323,239,390,513,181,84,172,67,402,736,475,419,152,169
2.7,650,780,440,314,436,623,276,325,239,390,514,182,84,170,67,402,736,474,420,150,168
2.8,650,781,439,313,435,624,277,327,240,390,515,182,85,169,67,402,736,472,420,150,168
2.9,650,781,437,314,435,625,277,330,241,390,515,182,85,169,67,402,737,470,420,151,168
3,650,781,437,314,435,625,278,332,243,391,515,182,85,169,68,402,737,469,421,151,168
3.1,650,782,438,314,436,625,279,332,244,391,513,182,85,169,68,402,737,467,421,149,167
3.2,651,782,439,313,436,626,279,332,248,392,513,183,83,169,68,401,736,466,421,147,166
3.3,651,782,441,313,436,628,280,334,248,391,513,183,83,169,68,401,736,466,421,147,166
3.4,651,783,441,312,436,629,281,334,249,391,513,184,83,170,68,399,736,464,423,147,166
3.5,651,784,441,313,436,630,281,344,251,391,514,184,83,170,69,398,734,463,426,148,165
3.6,651,784,441,313,436,631,282,346,251,391,514,184,84,170,70,398,734,461,427,148,165
3.7,651,784,441,312,436,634,283,346,251,392,515,185,82,169,70,396,734,461,428,148,165
3.8,651,784,441,310,437,635,283,346,253,392,516,186,82,169,71,391,733,460,428,148,165
3.9,651,784,442,309,437,635,283,346,255,392,516,186,83,168,71,388,733,458,429,148,166
4,651,783,442,309,439,636,284,348,255,392,516,187,83,167,71,388,732,457,430,148,166
4.1,651,783,442,309,439,638,283,348,255,392,517,187,84,166,72,387,731,457,431,149,166
4.2,651,782,442,309,440,641,283,350,258,393,518,187,84,164,72,385,730,457,432,149,166
4.3,651,782,442,309,441,641,284,350,260,393,519,187,84,163,71,384,730,456,433,149,166
4.4,651,782,442,307,443,641,286,350,260,392,520,187,84,162,71,383,730,454,434,150,165
4.5,651,783,442,306,445,641,292,350,261,391,521,187,85,162,71,382,730,454,436,150,163
4.6,653,783,442,305,446,642,294,350,261,389,522,187,85,161,72,382,730,454,437,150,163
4.7,653,785,442,306,446,642,295,352,262,389,522,187,85,161,73,382,730,452,438,150,162
4.8,653,785,442,306,445,640,297,352,263,388,522,187,85,159,73,382,730,452,438,150,162
4.9,653,785,443,305,445,640,299,352,264,387,522,187,85,159,73,382,728,452,438,150,162
5,653,786,446,304,445,639,301,355,265,387,521,188,86,159,73,381,728,450,439,151,162
5.1,653,786,446,303,446,639,303,357,268,386,521,188,88,159,75,380,728,450,439,151,162
5.2,653,784,446,303,446,639,305,358,270,386,523,189,88,159,75,379,728,450,439,149,162
5.3,653,784,446,301,446,639,305,358,271,386,525,190,90,158,74,379,728,450,440,149,162
5.4,653,783,446,299,447,639,307,360,271,386,525,190,91,158,73,379,728,449,440,149,162
5.5,653,783,445,300,448,639,307,360,271,386,527,189,91,158,73,379,728,449,439,149,162
5.6,653,783,445,300,448,639,307,360,272,387,527,189,89,157,72,378,728,449,439,150,161
5.7,653,785,445,300,448,639,308,363,273,387,527,189,90,157,72,377,728,449,439,151,161
5.8,654,785,445,300,450,640,308,363,275,388,527,189,90,157,70,375,728,450,439,149,160
5.9,654,787,445,299,451,641,310,363,275,388,527,189,90,155,70,374,728,450,441,149,160
6,654,787,445,299,453,642,311,366,277,389,527,189,90,155,70,372,728,449,441,149,159
6.1,654,785,445,299,453,642,311,368,277,389,527,190,90,154,70,370,728,448,441,149,158
6.2,654,784,445,298,453,642,311,370,277,389,527,191,87,154,69,370,728,447,440,149,156
6.3,654,784,444,297,453,642,311,369,278,389,527,191,87,154,67,369,728,447,440,150,155
6.4,655,784,444,295,453,642,313,369,279,387,527,191,87,153,67,368,728,445,438,151,155
6.5,655,784,445,294,453,643,315,371,281,387,529,191,89,153,67,366,728,445,438,151,154
6.6,655,784,445,293,453,643,316,371,282,387,530,192,89,153,67,365,727,444,438,151,153
6.7,655,784,445,292,454,644,318,374,282,387,530,192,89,153,68,364,727,442,438,151,152
6.8,655,784,445,292,455,644,319,376,283,388,531,192,90,153,69,364,726,440,439,151,152
6.9,655,784,444,293,456,644,319,379,284,388,530,192,90,155,69,364,726,439,440,151,150
7,655,784,444,292,456,644,319,381,284,387,530,193,90,156,69,362,726,437,442,151,149
7.1,655,784,443,291,457,644,320,384,284,387,529,193,92,156,70,361,726,437,442,149,149
7.2,655,784,443,293,456,646,320,386,285,387,528,194,93,156,72,360,726,437,443,149,147
7.3,655,783,444,292,456,648,322,388,286,387,528,194,94,155,72,358,726,436,444,149,146
7.4,655,783,444,291,456,649,324,388,286,388,528,195,96,154,72,357,726,434,444,146,146
7.5,655,782,444,291,456,649,325,391,286,390,527,196,96,154,71,355,726,433,444,146,145
7.6,655,782,444,292,456,649,326,393,288,391,528,196,97,154,73,353,726,432,443,146,143
7.7,655,782,444,291,457,650,327,393,288,391,529,197,97,154,74,352,724,432,444,143,143
7.8,655,782,444,290,458,651,328,393,288,390,530,198,97,152,74,351,724,432,446,141,143
7.9,655,783,444,291,458,651,328,396,289,390,530,198,97,152,73,349,724,431,447,141,142
8,655,785,444,290,458,651,330,396,291,390,530,198,99,152,72,349,724,427,447,141,142
8.1,655,785,444,289,458,652,334,398,293,390,530,195,99,152,72,349,724,420,447,139,142
8.2,655,785,444,288,458,653,335,397,295,391,528,196,99,152,72,347,724,419,448,139,141
8.3,655,785,443,288,459,653,337,397,295,391,528,196,100,150,71,347,723,414,448,137,141
8.4,655,785,441,286,459,656,339,397,295,391,528,197,103,150,70,346,722,413,449,137,140
8.5,655,785,441,287,460,656,339,397,296,392,528,198,105,150,70,343,722,412,449,135,140
8.6,655,785,442,285,462,657,341,400,298,391,528,198,106,151,70,343,722,412,449,135,140
8.7,656,785,442,284,463,657,343,400,300,391,528,198,107,151,70,342,722,411,450,133,138
8.8,656,787,441,283,463,658,344,400,300,391,529,199,108,151,70,340,722,410,450,133,137
8.9,656,788,440,283,463,658,346,402,303,391,531,199,108,151,71,339,722,408,450,131,136
9,656,790,439,285,464,658,349,404,305,392,531,199,109,151,71,338,722,407,450,131,136
9.1,656,791,439,285,465,658,350,406,307,393,531,200,109,151,71,338,722,406,450,129,135
9.2,656,791,439,283,465,657,352,406,307,393,531,200,109,151,71,337,725,406,451,129,135
9.3,656,792,439,283,466,657,353,408,308,393,532,201,110,151,70,335,724,405,452,127,135
9.4,656,793,438,284,466,657,354,408,311,393,532,201,110,151,70,335,724,404,451,127,135
9.5,656,794,436,283,465,657,354,408,311,393,532,201,110,151,69,333,723,404,451,127,135
9.6,655,794,436,283,465,656,355,408,311,393,532,201,110,151,69,333,723,404,452,125,134
9.7,655,794,436,284,465,656,357,408,311,394,531,201,111,152,69,332,723,403,453,125,133
9.8,655,794,436,283,465,656,357,411,311,394,531,202,113,152,69,330,723,401,453,125,133
9.9,655,795,435,284,465,658,358,413,312,393,531,201,115,152,68,327,722,400,453,123,133
10,655,796,434,284,466,658,359,413,314,392,531,201,116,152,66,326,722,400,453,123,133
10.1,655,796,433,283,467,658,360,413,315,391,531,201,117,150,66,325,721,400,453,120,133
10.2,655,799,431,283,467,658,361,415,316,390,529,201,117,148,66,324,721,400,453,120,132
