0.3_stalin_desc,650_stalin_desc,783_stalin_desc,455_stalin_desc,324_stalin_desc,414_stalin_desc,615_stalin_desc,253_stalin_desc,289_stalin_desc,222_stalin_desc,383_stalin_desc,512_stalin_desc,177_stalin_desc,72_stalin_desc,185_stalin_desc,81_stalin_desc,429_stalin_desc,746_stalin_desc,490_stalin_desc,410_stalin_desc,155_stalin_desc,174_stalin_desc
0.4,650.0,783,455.0,325.0,415.0,615.0,256.0,289.0,222.0,383.0,512.0,177.0,72.0,185.0,80.0,428.0,745.0,490.0,410.0,155.0,172.0
,650.0,783,454.0,325.0,,615.0,256.0,289.0,222.0,380.0,512.0,177.0,72.0,185.0,80.0,428.0,744.0,489.0,410.0,152.0,171.0
,650.0,783,454.0,322.0,,615.0,,,222.0,380.0,512.0,177.0,,185.0,79.0,427.0,743.0,487.0,410.0,152.0,171.0
,650.0,782,454.0,322.0,,,,,222.0,380.0,512.0,177.0,,184.0,78.0,426.0,743.0,487.0,,152.0,170.0
,650.0,782,454.0,322.0,,,,,222.0,380.0,512.0,177.0,,183.0,78.0,424.0,743.0,487.0,,152.0,170.0
,650.0,781,454.0,321.0,,,,,220.0,380.0,512.0,177.0,,182.0,78.0,422.0,743.0,486.0,,152.0,170.0
,650.0,781,451.0,321.0,,,,,220.0,380.0,512.0,177.0,,181.0,78.0,422.0,743.0,485.0,,152.0,170.0
,650.0,781,450.0,320.0,,,,,220.0,380.0,511.0,177.0,,181.0,78.0,420.0,743.0,485.0,,152.0,170.0
,650.0,781,449.0,318.0,,,,,220.0,380.0,511.0,177.0,,181.0,78.0,418.0,743.0,484.0,,152.0,170.0
,650.0,781,448.0,318.0,,,,,218.0,380.0,511.0,176.0,,181.0,78.0,415.0,742.0,483.0,,152.0,170.0
,650.0,781,447.0,318.0,,,,,216.0,380.0,510.0,176.0,,181.0,78.0,414.0,740.0,483.0,,152.0,170.0
,650.0,781,444.0,316.0,,,,,216.0,380.0,508.0,176.0,,180.0,78.0,413.0,739.0,481.0,,152.0,170.0
,650.0,781,441.0,316.0,,,,,214.0,378.0,508.0,,,180.0,77.0,413.0,738.0,480.0,,150.0,168.0
,650.0,781,441.0,316.0,,,,,212.0,377.0,506.0,,,179.0,76.0,412.0,738.0,479.0,,150.0,168.0
,650.0,781,441.0,316.0,,,,,210.0,376.0,505.0,,,178.0,74.0,412.0,738.0,478.0,,150.0,168.0
,650.0,780,441.0,316.0,,,,,210.0,376.0,504.0,,,178.0,72.0,410.0,738.0,478.0,,149.0,168.0
,650.0,779,441.0,315.0,,,,,210.0,375.0,504.0,,,178.0,70.0,409.0,737.0,476.0,,147.0,168.0
,650.0,779,440.0,314.0,,,,,208.0,374.0,504.0,,,177.0,70.0,408.0,737.0,475.0,,147.0,168.0
,650.0,779,439.0,313.0,,,,,206.0,371.0,503.0,,,176.0,70.0,408.0,737.0,475.0,,147.0,168.0
,650.0,779,437.0,313.0,,,,,206.0,371.0,502.0,,,175.0,69.0,406.0,736.0,475.0,,146.0,168.0
,650.0,779,437.0,313.0,,,,,204.0,370.0,501.0,,,174.0,68.0,404.0,736.0,475.0,,146.0,167.0
,650.0,779,436.0,312.0,,,,,204.0,370.0,500.0,,,174.0,67.0,403.0,736.0,475.0,,146.0,166.0
,650.0,777,436.0,312.0,,,,,202.0,368.0,496.0,,,172.0,67.0,402.0,736.0,474.0,,143.0,166.0
,650.0,777,436.0,310.0,,,,,200.0,368.0,495.0,,,170.0,67.0,402.0,736.0,472.0,,141.0,166.0
,650.0,777,436.0,309.0,,,,,200.0,368.0,495.0,,,169.0,67.0,402.0,736.0,470.0,,141.0,165.0
,650.0,777,435.0,309.0,,,,,200.0,368.0,494.0,,,169.0,67.0,402.0,736.0,469.0,,141.0,165.0
,650.0,776,434.0,309.0,,,,,200.0,368.0,494.0,,,169.0,67.0,402.0,736.0,467.0,,139.0,165.0
,650.0,775,433.0,309.0,,,,,198.0,368.0,494.0,,,169.0,67.0,402.0,736.0,466.0,,139.0,165.0
,650.0,775,431.0,309.0,,,,,196.0,368.0,494.0,,,169.0,67.0,401.0,734.0,466.0,,137.0,165.0
,649.0,775,431.0,307.0,,,,,194.0,368.0,494.0,,,169.0,67.0,401.0,734.0,464.0,,137.0,163.0
,649.0,775,431.0,306.0,,,,,194.0,367.0,494.0,,,169.0,66.0,399.0,734.0,463.0,,135.0,163.0
,649.0,774,431.0,305.0,,,,,192.0,366.0,494.0,,,169.0,66.0,398.0,733.0,461.0,,135.0,162.0
,649.0,774,431.0,305.0,,,,,190.0,366.0,494.0,,,168.0,66.0,398.0,733.0,461.0,,133.0,162.0
,649.0,774,431.0,304.0,,,,,190.0,365.0,493.0,,,167.0,65.0,396.0,732.0,460.0,,133.0,162.0
