0_stalin_desc,0.1_stalin_desc,0.2_stalin_desc,0.3_stalin_desc,0.4_stalin_desc,73_stalin_desc,430_stalin_desc,57_stalin_desc,217_stalin_desc,103_stalin_desc,299_stalin_desc,228_stalin_desc,231_stalin_desc,320_stalin_desc,Unnamed: 15_stalin_desc,192_stalin_desc,314_stalin_desc,131_stalin_desc,133_stalin_desc,286_stalin_desc,134_stalin_desc,52_stalin_desc,477_stalin_desc,318_stalin_desc,226_stalin_desc,480_stalin_desc,367_stalin_desc,104_stalin_desc,275_stalin_desc,825_stalin_desc,558_stalin_desc,645_stalin_desc,768_stalin_desc,675_stalin_desc,640_stalin_desc,608_stalin_desc,760_stalin_desc,876_stalin_desc,643_stalin_desc,491_stalin_desc,363_stalin_desc,433_stalin_desc,656_stalin_desc,627_stalin_desc,556_stalin_desc,559_stalin_desc,500_stalin_desc,718_stalin_desc,700_stalin_desc,504_stalin_desc,683_stalin_desc,589_stalin_desc,775_stalin_desc,584_stalin_desc,477.1_stalin_desc,609_stalin_desc,609.1_stalin_desc,451_stalin_desc,658_stalin_desc,560_stalin_desc,540_stalin_desc,518_stalin_desc,586_stalin_desc,619_stalin_desc,735_stalin_desc
0.1,0.0,0.0,0.0,0.0,73.0,433.0,57.0,218.0,102.0,303.0,229.0,234.0,321.0,247.0,194.0,318.0,134.0,137.0,287.0,135.0,52.0,478.0,319.0,226.0,480.0,368.0,104.0,276.0,824.0,558.0,644.0,766.0,673.0,641.0,606.0,759.0,874.0,640.0,489.0,362.0,430.0,654.0,625.0,554.0,557.0,499.0,716.0,698.0,501.0,680.0,586.0,771.0,583.0,476.0,606.0,606.0,448.0,657.0,559.0,538.0,518.0,583.0,617.0,733.0
,0.0,0.0,0.0,0.0,71.0,,0.0,218.0,99.0,,,,,,194.0,,,,287.0,,51.0,,,226.0,,,,,823.0,558.0,643.0,764.0,670.0,641.0,605.0,756.0,874.0,639.0,485.0,361.0,427.0,652.0,622.0,552.0,555.0,496.0,715.0,696.0,499.0,678.0,586.0,770.0,580.0,475.0,603.0,606.0,445.0,657.0,559.0,537.0,518.0,581.0,616.0,731.0
,0.0,0.0,0.0,0.0,,,0.0,218.0,99.0,,,,,,194.0,,,,287.0,,51.0,,,225.0,,,,,822.0,556.0,642.0,762.0,669.0,640.0,604.0,753.0,874.0,637.0,484.0,360.0,422.0,648.0,620.0,549.0,553.0,494.0,712.0,691.0,493.0,675.0,584.0,769.0,579.0,475.0,600.0,604.0,442.0,657.0,558.0,534.0,516.0,580.0,614.0,729.0
,0.0,0.0,0.0,0.0,,,0.0,218.0,99.0,,,,,,,,,,287.0,,51.0,,,224.0,,,,,819.0,554.0,640.0,760.0,666.0,638.0,603.0,750.0,874.0,637.0,482.0,358.0,418.0,646.0,619.0,549.0,552.0,492.0,709.0,687.0,491.0,673.0,584.0,767.0,579.0,472.0,597.0,603.0,441.0,657.0,557.0,531.0,513.0,576.0,613.0,727.0
,0.0,0.0,0.0,0.0,,,0.0,,99.0,,,,,,,,,,,,51.0,,,224.0,,,,,819.0,553.0,638.0,760.0,664.0,637.0,602.0,746.0,874.0,637.0,481.0,356.0,414.0,643.0,617.0,548.0,551.0,491.0,707.0,684.0,486.0,673.0,390.0,766.0,577.0,470.0,595.0,601.0,437.0,657.0,556.0,530.0,513.0,576.0,610.0,723.0
,0.0,,0.0,0.0,,,0.0,,99.0,,,,,,,,,,,,,,,224.0,,,,,815.0,552.0,637.0,759.0,662.0,635.0,600.0,746.0,874.0,635.0,479.0,353.0,413.0,641.0,615.0,545.0,550.0,487.0,704.0,682.0,484.0,671.0,389.0,765.0,575.0,470.0,592.0,599.0,436.0,657.0,556.0,528.0,511.0,576.0,606.0,723.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,223.0,,,,,814.0,552.0,636.0,759.0,661.0,635.0,597.0,745.0,874.0,635.0,479.0,350.0,410.0,638.0,612.0,544.0,548.0,486.0,702.0,681.0,482.0,669.0,388.0,761.0,573.0,469.0,589.0,599.0,434.0,657.0,555.0,526.0,510.0,574.0,604.0,720.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,810.0,552.0,635.0,758.0,659.0,633.0,596.0,744.0,874.0,634.0,476.0,349.0,408.0,635.0,610.0,543.0,548.0,485.0,701.0,677.0,480.0,667.0,385.0,759.0,572.0,468.0,587.0,597.0,431.0,657.0,554.0,526.0,507.0,573.0,603.0,719.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,807.0,552.0,634.0,756.0,659.0,631.0,594.0,741.0,873.0,632.0,473.0,348.0,405.0,632.0,609.0,542.0,545.0,483.0,700.0,674.0,475.0,667.0,385.0,756.0,571.0,466.0,584.0,591.0,429.0,657.0,553.0,524.0,507.0,570.0,600.0,717.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,804.0,552.0,633.0,754.0,656.0,630.0,592.0,737.0,873.0,632.0,471.0,345.0,400.0,628.0,608.0,539.0,542.0,481.0,698.0,672.0,472.0,666.0,382.0,755.0,571.0,465.0,581.0,588.0,428.0,657.0,553.0,523.0,507.0,567.0,599.0,716.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,801.0,551.0,631.0,753.0,655.0,628.0,592.0,735.0,872.0,629.0,469.0,345.0,396.0,626.0,607.0,537.0,539.0,478.0,696.0,669.0,470.0,665.0,382.0,753.0,570.0,464.0,579.0,585.0,425.0,657.0,551.0,523.0,505.0,566.0,596.0,713.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,801.0,549.0,631.0,752.0,653.0,627.0,589.0,733.0,871.0,627.0,466.0,343.0,394.0,624.0,607.0,535.0,536.0,476.0,694.0,666.0,465.0,665.0,381.0,750.0,569.0,463.0,576.0,584.0,423.0,657.0,551.0,523.0,502.0,565.0,593.0,711.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,797.0,548.0,628.0,751.0,652.0,626.0,586.0,732.0,871.0,624.0,464.0,341.0,392.0,622.0,604.0,535.0,533.0,474.0,691.0,664.0,465.0,664.0,378.0,747.0,569.0,462.0,572.0,581.0,420.0,657.0,549.0,523.0,499.0,562.0,590.0,710.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,793.0,545.0,627.0,751.0,648.0,625.0,584.0,730.0,871.0,623.0,460.0,338.0,390.0,619.0,603.0,533.0,531.0,471.0,689.0,661.0,459.0,663.0,377.0,744.0,569.0,462.0,569.0,578.0,416.0,657.0,548.0,523.0,496.0,559.0,588.0,709.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,792.0,543.0,625.0,751.0,647.0,624.0,580.0,728.0,871.0,621.0,459.0,335.0,385.0,619.0,602.0,533.0,528.0,469.0,686.0,657.0,456.0,662.0,374.0,743.0,568.0,461.0,566.0,576.0,412.0,657.0,548.0,522.0,494.0,558.0,586.0,707.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,787.0,542.0,623.0,750.0,646.0,623.0,578.0,726.0,871.0,619.0,458.0,334.0,383.0,616.0,601.0,533.0,525.0,466.0,683.0,654.0,451.0,660.0,374.0,742.0,567.0,459.0,562.0,574.0,410.0,657.0,548.0,520.0,492.0,557.0,584.0,704.0
,0.0,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,786.0,540.0,621.0,749.0,645.0,622.0,576.0,722.0,870.0,615.0,455.0,333.0,380.0,614.0,599.0,533.0,521.0,463.0,681.0,652.0,446.0,659.0,369.0,739.0,564.0,456.0,558.0,569.0,407.0,657.0,548.0,518.0,490.0,554.0,582.0,703.0
